"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Carriere-Williams, Dontye","Wisc","DB","So","104","FA","W Ky Fri 9:00PM","66","5.5","5","-","-","12","0","1","0","0.0","0","30","0","0","0","0","0","0"
"Windsor, Robert","PSU","DL","Jr","105","FA","App Sat 3:30PM","65.5","5.95","6","-","-","11","0","0","0","2.0","14","19","2.5","15","0","0","0","0"
"Brown, Cam","PSU","LB","Jr","106","FA","App Sat 3:30PM","64","5.33","6","-","-","12","0","0","0","0.0","0","30","1","4","0","0","0","0"
"Harding, Dele","Ill","LB","Jr","107","FA","Kent Sat 12:00PM","64","9.14","5","-","-","7","0","0","0","0.0","0","32","0","0","0","0","0","0"
"Jones, Dre'Mont","OHSt","DL","Jr","108","FA","OreSt Sat 12:00PM","62.5","5.68","9","-","-","11","0","0","0","1.0","4","20","5","13","0","0","0","0"
"Lee Jr., Eric","Neb","DB","Jr","109","FA","Akr Sat 8:00PM","62.5","7.81","9","-","-","8","0","0","0","0.0","0","30","1","1","0","0","0","0"
"Cooper, Jonathon","OHSt","DL","Jr","110","FA","OreSt Sat 12:00PM","62","6.89","9","-","-","9","0","0","0","2.0","17","15","3","19","0","0","0","0"
"Roof, T.D.","Ind","LB","So","111","FA","@FLInt Sat 7:00PM","62","7.75","10","-","-","8","0","0","0","2.0","16","17","2","16","0","0","0","0"
"Wade, Lamont","PSU","DB","So","112","FA","App Sat 3:30PM","62","5.64","6","-","-","11","0","0","0","0.0","0","31","0","0","0","0","0","0"
"Akinmoladun, Freedom","Neb","DL","Sr","113","FA","Akr Sat 8:00PM","61","6.1","9","-","-","10","0","0","0","1.0","3","24","2","7","0","0","0","0"
"Davis, Khalil","Neb","DL","Jr","114","FA","Akr Sat 8:00PM","60","6.67","9","-","-","9","0","0","0","2.0","11","15","4","17","0","0","0","0"
"Nelson, Matt","Iowa","DL","Sr","115","FA","NIU Sat 3:30PM","60","5","5","-","-","12","0","0","0","1.0","5","23","2","7","0","0","0","0"
"Cornell, Jashon","OHSt","DL","Jr","116","FA","OreSt Sat 12:00PM","59.5","5.95","9","-","-","10","0","0","0","2.0","14","14","3.5","19","0","0","0","0"
"Ellis, Tino","MD","DB","Jr","117","FA","Tex Sat 12:00PM","59","7.38","5","-","-","8","0","0","0","0.0","0","27","2","2","0","0","0","0"
"Mayo, Alonzo","NW","DB","Jr","118","FA","@Purd Thu 8:00PM","59","7.38","4","-","-","8","0","0","0","0.0","0","29","0.5","0","0","0","0","0"
"Woods, Jamal","Ill","DL","So","119","FA","Kent Sat 12:00PM","58.5","7.31","5","-","-","8","0","0","0","0.0","0","24","3.5","7","0","0","0","0"
"Ojemudia, Michael","Iowa","DB","Jr","120","FA","NIU Sat 3:30PM","58","4.83","5","-","-","12","0","0","0","0.0","0","29","0","0","0","0","0","0"
"Panasiuk, Mike","MSU","DL","Jr","121","FA","UtSt Fri 7:00PM","57.5","5.75","3","-","-","10","0","0","0","0.0","0","25","2.5","5","0","0","0","0"
"Johnson, Jerome","Ind","DL","So","122","FA","@FLInt Sat 7:00PM","57","5.7","10","-","-","10","0","0","0","1.0","0","21","4","6","0","0","0","0"
"Willis Jr., Dameon","Ind","LB","Jr","123","FA","@FLInt Sat 7:00PM","57","6.33","10","-","-","9","0","0","0","0.0","0","27","1","2","0","0","0","0"
"Davis, Alex","Neb","LB","Jr","124","FA","Akr Sat 8:00PM","56","6.22","9","-","-","9","0","0","0","1.5","5","17","4","11","0","0","0","0"
"Moore, Gary","Minn","DL","Sr","125","FA","NMSt Thu 7:00PM","56","5.09","5","-","-","11","0","0","0","1.0","8","19","2.5","10","0","0","0","0"
"Turner, Julius","Rut","DL","So","126","FA","TxSt Sat 12:00PM","56","6.22","9","-","-","9","0","0","0","1.5","7","18","3","9","0","0","0","0"
"Buchholz, Ryan","PSU","DL","Jr","127","WW","App Sat 3:30PM","55.5","7.93","6","-","-","7","0","0","0","1.5","11","17","2","12","0","0","0","0"
"McGee, Jared","NW","DB","Sr","128","FA","@Purd Thu 8:00PM","54","4.91","4","-","-","11","0","0","0","0.0","0","27","0","0","0","0","0","0"
"Richardson, Antwaine","MD","DB","Jr","129","FA","Tex Sat 12:00PM","53.5","6.69","5","-","-","8","0","0","0","0.0","0","25","1","3","0","0","0","0"
"Tanyi, Mbi","MD","DL","Sr","130","FA","Tex Sat 12:00PM","51.5","4.68","5","-","-","11","0","0","0","1.0","2","20","2","5","0","0","0","0"
"Milan, Jamal","Ill","DL","Jr","131","FA","Kent Sat 12:00PM","51","5.67","5","-","-","9","0","0","0","0.0","0","23","1.5","4","0","0","0","0"
"Joseph, Daniel","PSU","DL","So","132","FA","App Sat 3:30PM","50.5","12.62","6","-","-","4","0","0","0","3.0","9","11","3.5","10","0","0","0","0"
"DeLattiboudere, Winston","Minn","DL","Jr","133","FA","NMSt Thu 7:00PM","49.5","7.07","5","-","-","7","0","0","0","2.0","7","13","3.5","10","0","0","0","0"
"Howard, Keiron","MD","DL","Jr","134","FA","Tex Sat 12:00PM","49","7","5","-","-","7","0","0","0","2.0","9","13","3","9","0","0","0","0"
"Winfield Jr., Antoine","Minn","DB","Jr","135","FA","NMSt Thu 7:00PM","49","12.25","5","-","-","4","0","0","0","1.0","3","20","1","3","0","0","0","0"
"Gross-Matos, Yetur","PSU","DL","So","136","FA","App Sat 3:30PM","48","5.33","6","-","-","9","0","0","0","1.5","7","16","1.5","7","0","0","0","0"
"Panasiuk, Jacub","MSU","DL","So","137","FA","UtSt Fri 7:00PM","48","6.86","3","-","-","7","0","0","0","1.0","4","15","3","12","0","0","0","0"
"Simmons, Shane","PSU","DL","So","138","FA","App Sat 3:30PM","48","6","6","-","-","8","0","0","0","1.0","1","14","4.5","13","0","0","0","0"
"Jackson, Kenyon","Ill","DL","Jr","139","FA","Kent Sat 12:00PM","47","5.22","5","-","-","9","0","0","0","0.5","1","21","1","1","0","0","0","0"
"Loudermilk, Isaiahh","Wisc","DL","So","140","FA","W Ky Fri 9:00PM","47","7.83","5","-","-","6","0","0","0","2.0","15","10","2","15","0","0","0","0"
"Williams, Trae","NW","DB","Jr","141","FA","@Purd Thu 8:00PM","47","5.88","4","-","-","8","0","1","65","0.0","0","16","1","1","0","0","0","0"
"Watson, Brandon","Mich","DB","Sr","142","FA","@ND Sat 7:30PM","46","4.6","9","-","-","10","0","0","0","0.0","0","21","1.5","2","0","0","0","0"
"Hamilton, Davon","OHSt","DL","Jr","143","FA","OreSt Sat 12:00PM","45.5","6.5","9","-","-","7","0","0","0","0.5","5","12","4.5","16","0","0","0","0"
"Oluwatimi, Oluwaseun","MD","DL","Jr","144","FA","Tex Sat 12:00PM","45","5","5","-","-","9","0","0","0","1.5","7","14","2","7","0","0","0","0"
"Monroe, Ayron","PSU","DB","Jr","145","FA","App Sat 3:30PM","44.5","5.56","6","-","-","8","0","0","0","0.5","2","18","1.5","5","0","0","0","0"
"Ball, Marcelino","Ind","DB","So","146","FA","@FLInt Sat 7:00PM","43","14.33","10","-","-","3","0","0","0","0.0","0","21","0.5","0","0","0","0","0"
"Lattimore, Cedrick","Iowa","DL","Jr","147","FA","NIU Sat 3:30PM","43","4.78","5","-","-","9","0","0","0","1.5","4","15","1.5","4","0","0","0","0"
"Reiff, Brady","Iowa","DL","Jr","148","FA","NIU Sat 3:30PM","42.5","5.31","5","-","-","8","0","1","5","1.0","4","13","1","4","0","0","0","0"
"Hankins, Matt","Iowa","DB","So","149","FA","NIU Sat 3:30PM","42","4.67","5","-","-","9","0","0","0","0.0","0","21","0","0","0","0","0","0"
"Owens, Gerald","MSU","DL","Sr","150","FA","UtSt Fri 7:00PM","42","4.67","3","-","-","9","0","0","0","1.0","14","11","1","14","0","0","0","0"
"Thomas, Kiondre","Minn","DB","So","151","FA","NMSt Thu 7:00PM","42","6","5","-","-","7","0","0","0","0.0","0","21","0","0","0","0","0","0"
"Stone, Geno","Iowa","DB","So","152","FA","NIU Sat 3:30PM","41.9","5.99","5","-","-","7","0","1","19","0.0","0","17","0","0","0","0","0","0"
"Brincks, Sam","Iowa","DL","Sr","153","FA","NIU Sat 3:30PM","41","3.73","5","-","-","11","0","0","0","0.0","0","19","1","2","0","0","0","0"
"Fogg, Tyshon","Rut","LB","So","154","FA","TxSt Sat 12:00PM","41","10.25","9","-","-","4","0","1","5","0.0","0","16","1","1","0","0","0","0"
"Lumor, Elorm","Rut","DL","So","155","FA","TxSt Sat 12:00PM","40","6.67","9","-","-","6","0","0","0","1.0","2","16","1","2","0","0","0","0"
"Solomon, Aubrey","Mich","DL","So","156","FA","@ND Sat 7:30PM","38.5","4.81","9","-","-","8","0","0","0","0.0","0","16","2","5","0","0","0","0"
